figure,category,fw_value,nonfw_value,diff_fw_minus_nonfw,p_value,significant,test
overview_kpis.png,Has fire insurance,96.6,92.3,4.3,0.5976,False,2-prop χ²/Fisher
hardening_awareness.png,Aware of pre-fire-season deadline,82.5,75.0,7.5,0.6037,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Lack of education on strategies,13.3,22.2,-8.9,0.6146,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Lack of community support,20.0,33.3,-13.3,0.6349,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Lack of public support,20.0,33.3,-13.3,0.6349,False,2-prop χ²/Fisher
risk_info_sources.png,Someone told you (neighbor/friend/family),33.3,16.7,16.6,0.6404,False,2-prop χ²/Fisher
hardening_upgrades_made.png,Exterior wall / siding,32.5,25.0,7.5,0.6408,False,2-prop χ²/Fisher
preparedness_activities.png,Emergency Go Bag & supplies,13.3,11.0,2.3,0.6498,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Aesthetics,33.3,22.2,11.1,0.6687,False,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Emergency Go Bag & supplies,57.5,50.0,7.5,0.6712,False,2-prop χ²/Fisher
defensible_perceived_effectiveness.png,Hardening the home,51.3,47.2,4.1,0.6793,False,Mann–Whitney U
hardening_upgrades_made.png,Deck improvements,22.5,16.7,5.8,0.7268,False,2-prop χ²/Fisher
defensible_vegetation_activities.png,Thin shrubs 10ft from road/driveway,50.0,58.8,-8.8,0.8101,False,2-prop χ²/Fisher
risk_neighbor_perceptions.png,Worrying Partners,55.0,50.0,5.0,0.8369,False,2-prop χ²/Fisher
risk_experience_aggregate.png,Heard about wildfire from others,47.9,46.1,1.8,0.8375,False,2-prop χ²/Fisher
hardening_upgrades_made.png,Roof improvements,42.5,47.2,-4.7,0.8553,False,2-prop χ²/Fisher
defensible_zone_actions.png,Zone 1: Plants watered regularly,89.2,87.7,1.5,0.859,False,2-prop χ²/Fisher
risk_concern_means.png,Poor air quality,21.2,21.0,0.2,0.9,False,Mann–Whitney U
risk_experience_aggregate.png,Negative health effects,15.8,16.9,-1.1,0.9043,False,2-prop χ²/Fisher
hardening_upgrades_made.png,Enclosing eaves,20.0,16.7,3.3,0.9378,False,2-prop χ²/Fisher
community_favors.png,"Care (childcare, pet care, plant care)",75.8,71.9,3.9,0.9412,False,2-prop χ²/Fisher
overview_kpis.png,Comfortable in English,100.0,100.0,0.0,1.0,False,2-prop χ²/Fisher
defensible_vegetation_activities.png,No maintenance necessary,8.3,11.8,-3.5,1.0,False,2-prop χ²/Fisher
hardening_upgrades_made.png,Signage / address numbers,45.0,44.4,0.6,1.0,False,2-prop χ²/Fisher
hardening_upgrades_made.png,Vent improvements (ember-resistant),42.5,41.7,0.8,1.0,False,2-prop χ²/Fisher
hardening_upgrades_made.png,Window improvements,42.5,41.7,0.8,1.0,False,2-prop χ²/Fisher
hardening_baseline_adjusted.png,Made ≥1 upgrade (self),90.0,91.7,-1.7,1.0,False,2-prop χ²/Fisher
hardening_baseline_adjusted.png,Hardened — self OR pre-existing (baseline-adjusted),90.0,91.7,-1.7,1.0,False,2-prop χ²/Fisher
hardening_reasons_not_made.png,None of the above,15.0,16.7,-1.7,1.0,False,2-prop χ²/Fisher
hardening_reasons_not_made.png,HOA maintains exterior structures,12.5,13.9,-1.4,1.0,False,2-prop χ²/Fisher
hardening_reasons_not_made.png,Didn't know it was a problem,10.0,8.3,1.7,1.0,False,2-prop χ²/Fisher
hardening_reasons_not_made.png,No financial means,10.0,8.3,1.7,1.0,False,2-prop χ²/Fisher
hardening_reasons_not_made.png,Prefer not to answer,2.5,2.8,-0.3,1.0,False,2-prop χ²/Fisher
hardening_awareness.png,Trees trimmed in last 5 yrs,94.9,94.3,0.6,1.0,False,2-prop χ²/Fisher
risk_experience_aggregate.png,Lasting health effects,1.8,1.9,-0.1,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Subscribed alert service / app,50.0,58.3,-8.3,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Wireless Emergency Alerts,41.7,33.3,8.4,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Internet / news website,33.3,41.7,-8.4,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Other,33.3,33.3,0.0,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Television announcement,25.0,25.0,0.0,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,First responder (door-to-door),16.7,16.7,0.0,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Social media,8.3,8.3,0.0,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Radio announcement,0.0,8.3,-8.3,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,Billboard / road message board,0.0,8.3,-8.3,1.0,False,2-prop χ²/Fisher
risk_info_sources.png,I don't know,8.3,0.0,8.3,1.0,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Access to gardening/landscaping help,20.0,22.2,-2.2,1.0,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Lack of community engagement,20.0,11.1,8.9,1.0,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Low perception of risk,13.3,11.1,2.2,1.0,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Lack of communication,6.7,11.1,-4.4,1.0,False,2-prop χ²/Fisher
